F, epochs, epsilon, B, weightcost, momentum, trRSME, vlRSME
4, 32, 0.01, 10, 0.0005, 0.3, 1.00282954973, 1.19701136246
4, 33, 0.01, 10, 0.0005, 0.3, 1.00174100806, 1.20148543728
4, 34, 0.01, 10, 0.0005, 0.3, 1.00187708805, 1.20940538008
4, 35, 0.01, 10, 0.0005, 0.3, 1.00150486573, 1.19911693221
4, 36, 0.01, 10, 0.0005, 0.3, 0.997061380993, 1.2069458309
4, 37, 0.01, 10, 0.0005, 0.3, 0.998058485343, 1.20511317175
4, 38, 0.01, 10, 0.0005, 0.3, 1.00040432154, 1.19129368151
4, 39, 0.01, 10, 0.0005, 0.3, 0.997526935108, 1.1997234815
4, 40, 0.01, 10, 0.0005, 0.3, 0.993235612607, 1.19763345774
4, 41, 0.01, 10, 0.0005, 0.3, 0.993967671071, 1.18981084338
4, 42, 0.01, 10, 0.0005, 0.3, 0.993078904954, 1.1966964447
4, 43, 0.01, 10, 0.0005, 0.3, 0.99377867793, 1.19418920833
4, 44, 0.01, 10, 0.0005, 0.3, 0.990854314521, 1.19427683821
4, 45, 0.01, 10, 0.0005, 0.3, 0.991512627722, 1.18615967456
4, 46, 0.01, 10, 0.0005, 0.3, 0.991779690903, 1.18835168151
4, 47, 0.01, 10, 0.0005, 0.3, 0.992334102114, 1.18597689404
4, 48, 0.01, 10, 0.0005, 0.3, 0.989780412195, 1.19032563308
4, 49, 0.01, 10, 0.0005, 0.3, 0.992597138112, 1.19181444599
4, 1, 0.01, 10, 0.0005, 0.5, 1.17053485723, 1.21497640891
4, 2, 0.01, 10, 0.0005, 0.5, 1.13403568016, 1.18452590098
4, 3, 0.01, 10, 0.0005, 0.5, 1.08946313969, 1.1604811933
4, 4, 0.01, 10, 0.0005, 0.5, 1.0655516863, 1.1572491569
4, 5, 0.01, 10, 0.0005, 0.5, 1.05743216292, 1.15106013337
4, 6, 0.01, 10, 0.0005, 0.5, 1.05054059647, 1.14762878059
